/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=none seed=42 dataset=bitalpha task=anomaly_detection
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
[KAIROS] Using device: cuda:0 (NVIDIA RTX A6000)
Constructing structural anomaly nodes...
Done. 150 structural nodes (2250 edges)

Constructing attribute anomaly nodes...
Done. 150 attribute anomaly nodes

[KAIROS] Small graph (3219 nodes) → full-neighbour training sampler

Training 100 epochs | 5 views | λ_koop=1.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 137.7958 | KOOP 0.1213 | τ 0.0703 | Total 137.9171
Epoch 00001 | NCE 113.4961 | KOOP 0.1052 | τ 0.0705 | Total 113.6013
Epoch 00002 | NCE 99.5128 | KOOP 0.0926 | τ 0.0708 | Total 99.6053
Epoch 00003 | NCE 91.9687 | KOOP 0.0788 | τ 0.0709 | Total 92.0475
Epoch 00004 | NCE 85.0421 | KOOP 0.0714 | τ 0.0710 | Total 85.1134
Epoch 00005 | NCE 82.4387 | KOOP 0.0684 | τ 0.0710 | Total 82.5071
Epoch 00006 | NCE 75.9592 | KOOP 0.0581 | τ 0.0710 | Total 76.0174
Epoch 00007 | NCE 74.4645 | KOOP 0.0612 | τ 0.0709 | Total 74.5258
Epoch 00008 | NCE 68.5788 | KOOP 0.0510 | τ 0.0708 | Total 68.6298
Epoch 00009 | NCE 66.1278 | KOOP 0.0545 | τ 0.0707 | Total 66.1824
Epoch 00010 | NCE 61.8319 | KOOP 0.0440 | τ 0.0705 | Total 61.8760
Epoch 00011 | NCE 61.0848 | KOOP 0.0424 | τ 0.0703 | Total 61.1273
Epoch 00012 | NCE 59.5466 | KOOP 0.0505 | τ 0.0701 | Total 59.5971
