/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=99 dataset=tax51 task=anomaly_detection
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
Constructing structural anomaly nodes...
Done. 3000 structural nodes (45000 edges)

Constructing attribute anomaly nodes...
Done. 3000 attribute anomaly nodes

[KAIROS] Large graph (132524 nodes) → mini-batch sampler fanout=[20, 20]

[KAIROS] Backbone: gat
Training 200 epochs | 4 views | λ_koop=1.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 78.5479 | KOOP 0.1628 | τ 0.5000 | Total 78.7107
Epoch 00001 | NCE 76.7386 | KOOP 0.1403 | τ 0.5000 | Total 76.8789
Epoch 00002 | NCE 75.1633 | KOOP 0.1254 | τ 0.5000 | Total 75.2887
Epoch 00003 | NCE 74.3271 | KOOP 0.1179 | τ 0.5000 | Total 74.4451
Epoch 00004 | NCE 73.2825 | KOOP 0.1053 | τ 0.5000 | Total 73.3878
Epoch 00005 | NCE 72.4397 | KOOP 0.0970 | τ 0.5000 | Total 72.5367
Epoch 00006 | NCE 71.8370 | KOOP 0.1034 | τ 0.5000 | Total 71.9404
Epoch 00007 | NCE 71.3510 | KOOP 0.0946 | τ 0.5000 | Total 71.4456
Epoch 00008 | NCE 70.3118 | KOOP 0.0940 | τ 0.5000 | Total 70.4059
Epoch 00009 | NCE 69.8804 | KOOP 0.0883 | τ 0.5000 | Total 69.9688
Epoch 00010 | NCE 69.3928 | KOOP 0.0797 | τ 0.5000 | Total 69.4725
Epoch 00011 | NCE 68.3314 | KOOP 0.0748 | τ 0.5000 | Total 68.4062
Epoch 00012 | NCE 67.9155 | KOOP 0.0731 | τ 0.5000 | Total 67.9886
Epoch 00013 | NCE 67.7851 | KOOP 0.0773 | τ 0.5000 | Total 67.8624
Epoch 00014 | NCE 67.2925 | KOOP 0.0710 | τ 0.5000 | Total 67.3635
Epoch 00015 | NCE 67.1296 | KOOP 0.0710 | τ 0.5000 | Total 67.2006
Epoch 00016 | NCE 66.4244 | KOOP 0.0614 | τ 0.5000 | Total 66.4858
Epoch 00017 | NCE 66.2253 | KOOP 0.0660 | τ 0.5000 | Total 66.2913
Epoch 00018 | NCE 65.8927 | KOOP 0.0577 | τ 0.5000 | Total 65.9504
Epoch 00019 | NCE 65.4900 | KOOP 0.0606 | τ 0.5000 | Total 65.5507
Epoch 00020 | NCE 65.2623 | KOOP 0.0528 | τ 0.5000 | Total 65.3151
Epoch 00021 | NCE 65.5579 | KOOP 0.0607 | τ 0.5000 | Total 65.6186
Epoch 00022 | NCE 65.2259 | KOOP 0.0561 | τ 0.5000 | Total 65.2820
Epoch 00023 | NCE 65.1905 | KOOP 0.0551 | τ 0.5000 | Total 65.2456
Epoch 00024 | NCE 64.7301 | KOOP 0.0569 | τ 0.5000 | Total 64.7871
Epoch 00025 | NCE 64.2014 | KOOP 0.0468 | τ 0.5000 | Total 64.2482
Epoch 00026 | NCE 64.1321 | KOOP 0.0486 | τ 0.5000 | Total 64.1808
Epoch 00027 | NCE 64.0286 | KOOP 0.0505 | τ 0.5000 | Total 64.0791
Epoch 00028 | NCE 63.9415 | KOOP 0.0442 | τ 0.5000 | Total 63.9857
Epoch 00029 | NCE 63.6551 | KOOP 0.0403 | τ 0.5000 | Total 63.6954
Epoch 00030 | NCE 63.7592 | KOOP 0.0481 | τ 0.5000 | Total 63.8073
Epoch 00031 | NCE 63.3710 | KOOP 0.0369 | τ 0.5000 | Total 63.4078
Epoch 00032 | NCE 63.5367 | KOOP 0.0386 | τ 0.5000 | Total 63.5754
Epoch 00033 | NCE 63.2431 | KOOP 0.0411 | τ 0.5000 | Total 63.2842
Epoch 00034 | NCE 62.8147 | KOOP 0.0370 | τ 0.5000 | Total 62.8518
Epoch 00035 | NCE 63.2788 | KOOP 0.0452 | τ 0.5000 | Total 63.3239
Epoch 00036 | NCE 63.3124 | KOOP 0.0395 | τ 0.5000 | Total 63.3520
Epoch 00037 | NCE 63.0813 | KOOP 0.0379 | τ 0.5000 | Total 63.1193
Epoch 00038 | NCE 63.5608 | KOOP 0.0497 | τ 0.5000 | Total 63.6105
Epoch 00039 | NCE 62.9281 | KOOP 0.0373 | τ 0.5000 | Total 62.9654
Epoch 00040 | NCE 62.7771 | KOOP 0.0387 | τ 0.5000 | Total 62.8158
Epoch 00041 | NCE 62.9494 | KOOP 0.0388 | τ 0.5000 | Total 62.9882
Epoch 00042 | NCE 62.1242 | KOOP 0.0310 | τ 0.5000 | Total 62.1552
Epoch 00043 | NCE 62.5336 | KOOP 0.0370 | τ 0.5000 | Total 62.5706
Epoch 00044 | NCE 62.1647 | KOOP 0.0278 | τ 0.5000 | Total 62.1925
Epoch 00045 | NCE 62.3730 | KOOP 0.0396 | τ 0.5000 | Total 62.4125
Epoch 00046 | NCE 62.0867 | KOOP 0.0351 | τ 0.5000 | Total 62.1218
Epoch 00047 | NCE 61.8374 | KOOP 0.0280 | τ 0.5000 | Total 61.8655
Epoch 00048 | NCE 61.7694 | KOOP 0.0317 | τ 0.5000 | Total 61.8011
Epoch 00049 | NCE 61.6738 | KOOP 0.0286 | τ 0.5000 | Total 61.7024
