/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[ablate] mode=fixed_tau seed=24 dataset=bitalpha task=classification
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Small graph (3219 nodes) → full-neighbour training sampler

[KAIROS] Backbone: gat
Training 100 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 80.9423 | KOOP 0.0000 | τ 1.0000 | Total 80.9423
Epoch 00001 | NCE 78.7602 | KOOP 0.0000 | τ 1.0000 | Total 78.7602
Epoch 00002 | NCE 76.9380 | KOOP 0.0000 | τ 1.0000 | Total 76.9380
Epoch 00003 | NCE 75.2611 | KOOP 0.0000 | τ 1.0000 | Total 75.2611
Epoch 00004 | NCE 74.4436 | KOOP 0.0000 | τ 1.0000 | Total 74.4436
Epoch 00005 | NCE 73.4597 | KOOP 0.0000 | τ 1.0000 | Total 73.4597
Epoch 00006 | NCE 73.6154 | KOOP 0.0000 | τ 1.0000 | Total 73.6154
Epoch 00007 | NCE 73.1338 | KOOP 0.0000 | τ 1.0000 | Total 73.1338
Epoch 00008 | NCE 72.3453 | KOOP 0.0000 | τ 1.0000 | Total 72.3453
Epoch 00009 | NCE 72.0869 | KOOP 0.0000 | τ 1.0000 | Total 72.0869
Epoch 00010 | NCE 71.9577 | KOOP 0.0000 | τ 1.0000 | Total 71.9577
Epoch 00011 | NCE 72.0711 | KOOP 0.0000 | τ 1.0000 | Total 72.0711
Epoch 00012 | NCE 71.6024 | KOOP 0.0000 | τ 1.0000 | Total 71.6024
Epoch 00013 | NCE 71.5722 | KOOP 0.0000 | τ 1.0000 | Total 71.5722
Epoch 00014 | NCE 71.3553 | KOOP 0.0000 | τ 1.0000 | Total 71.3553
Epoch 00015 | NCE 71.1128 | KOOP 0.0000 | τ 1.0000 | Total 71.1128
Epoch 00016 | NCE 70.9448 | KOOP 0.0000 | τ 1.0000 | Total 70.9448
Epoch 00017 | NCE 71.1359 | KOOP 0.0000 | τ 1.0000 | Total 71.1359
Epoch 00018 | NCE 70.9803 | KOOP 0.0000 | τ 1.0000 | Total 70.9803
Epoch 00019 | NCE 70.7352 | KOOP 0.0000 | τ 1.0000 | Total 70.7352
Epoch 00020 | NCE 70.9462 | KOOP 0.0000 | τ 1.0000 | Total 70.9462
Epoch 00021 | NCE 70.6927 | KOOP 0.0000 | τ 1.0000 | Total 70.6927
Epoch 00022 | NCE 70.6569 | KOOP 0.0000 | τ 1.0000 | Total 70.6569
Epoch 00023 | NCE 70.8018 | KOOP 0.0000 | τ 1.0000 | Total 70.8018
Epoch 00024 | NCE 70.5309 | KOOP 0.0000 | τ 1.0000 | Total 70.5309
Epoch 00025 | NCE 70.7352 | KOOP 0.0000 | τ 1.0000 | Total 70.7352
Epoch 00026 | NCE 70.6700 | KOOP 0.0000 | τ 1.0000 | Total 70.6700
Epoch 00027 | NCE 70.6022 | KOOP 0.0000 | τ 1.0000 | Total 70.6022
Epoch 00028 | NCE 70.5550 | KOOP 0.0000 | τ 1.0000 | Total 70.5550
Epoch 00029 | NCE 70.5322 | KOOP 0.0000 | τ 1.0000 | Total 70.5322
Epoch 00030 | NCE 70.2726 | KOOP 0.0000 | τ 1.0000 | Total 70.2726
Epoch 00031 | NCE 70.4457 | KOOP 0.0000 | τ 1.0000 | Total 70.4457
Epoch 00032 | NCE 70.4509 | KOOP 0.0000 | τ 1.0000 | Total 70.4509
Epoch 00033 | NCE 70.3890 | KOOP 0.0000 | τ 1.0000 | Total 70.3890
Epoch 00034 | NCE 70.3708 | KOOP 0.0000 | τ 1.0000 | Total 70.3708
Epoch 00035 | NCE 70.4566 | KOOP 0.0000 | τ 1.0000 | Total 70.4566
Epoch 00036 | NCE 70.2361 | KOOP 0.0000 | τ 1.0000 | Total 70.2361
Epoch 00037 | NCE 70.3470 | KOOP 0.0000 | τ 1.0000 | Total 70.3470
Epoch 00038 | NCE 70.3410 | KOOP 0.0000 | τ 1.0000 | Total 70.3410
Epoch 00039 | NCE 70.3680 | KOOP 0.0000 | τ 1.0000 | Total 70.3680
Epoch 00040 | NCE 70.2499 | KOOP 0.0000 | τ 1.0000 | Total 70.2499
Epoch 00041 | NCE 70.2930 | KOOP 0.0000 | τ 1.0000 | Total 70.2930
Epoch 00042 | NCE 70.1487 | KOOP 0.0000 | τ 1.0000 | Total 70.1487
Epoch 00043 | NCE 70.1970 | KOOP 0.0000 | τ 1.0000 | Total 70.1970
Epoch 00044 | NCE 70.1672 | KOOP 0.0000 | τ 1.0000 | Total 70.1672
Epoch 00045 | NCE 70.2252 | KOOP 0.0000 | τ 1.0000 | Total 70.2252
Epoch 00046 | NCE 70.1125 | KOOP 0.0000 | τ 1.0000 | Total 70.1125
Epoch 00047 | NCE 70.1345 | KOOP 0.0000 | τ 1.0000 | Total 70.1345
Epoch 00048 | NCE 70.0740 | KOOP 0.0000 | τ 1.0000 | Total 70.0740
Epoch 00049 | NCE 70.1539 | KOOP 0.0000 | τ 1.0000 | Total 70.1539
Epoch 00050 | NCE 70.1496 | KOOP 0.0000 | τ 1.0000 | Total 70.1496
Epoch 00051 | NCE 70.0940 | KOOP 0.0000 | τ 1.0000 | Total 70.0940
Epoch 00052 | NCE 70.1950 | KOOP 0.0000 | τ 1.0000 | Total 70.1950
Epoch 00053 | NCE 70.1012 | KOOP 0.0000 | τ 1.0000 | Total 70.1012
Epoch 00054 | NCE 69.9614 | KOOP 0.0000 | τ 1.0000 | Total 69.9614
Epoch 00055 | NCE 69.9556 | KOOP 0.0000 | τ 1.0000 | Total 69.9556
Epoch 00056 | NCE 69.9865 | KOOP 0.0000 | τ 1.0000 | Total 69.9865
Epoch 00057 | NCE 70.0095 | KOOP 0.0000 | τ 1.0000 | Total 70.0095
