/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=24 dataset=tax51 task=classification
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Large graph (132524 nodes) → mini-batch sampler fanout=[20, 20]

[KAIROS] Backbone: gat
Training 200 epochs | 5 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 126.7839 | KOOP 0.0000 | τ 0.3000 | Total 126.7839
Epoch 00001 | NCE 120.6588 | KOOP 0.0000 | τ 0.3000 | Total 120.6588
Epoch 00002 | NCE 116.2158 | KOOP 0.0000 | τ 0.3000 | Total 116.2158
Epoch 00003 | NCE 115.6222 | KOOP 0.0000 | τ 0.3000 | Total 115.6222
Epoch 00004 | NCE 112.1246 | KOOP 0.0000 | τ 0.3000 | Total 112.1246
Epoch 00005 | NCE 111.0387 | KOOP 0.0000 | τ 0.3000 | Total 111.0387
Epoch 00006 | NCE 105.2297 | KOOP 0.0000 | τ 0.3000 | Total 105.2297
Epoch 00007 | NCE 108.4889 | KOOP 0.0000 | τ 0.3000 | Total 108.4889
Epoch 00008 | NCE 103.4475 | KOOP 0.0000 | τ 0.3000 | Total 103.4475
Epoch 00009 | NCE 104.5324 | KOOP 0.0000 | τ 0.3000 | Total 104.5324
Epoch 00010 | NCE 102.4982 | KOOP 0.0000 | τ 0.3000 | Total 102.4982
Epoch 00011 | NCE 101.1759 | KOOP 0.0000 | τ 0.3000 | Total 101.1759
Epoch 00012 | NCE 96.2932 | KOOP 0.0000 | τ 0.3000 | Total 96.2932
Epoch 00013 | NCE 97.7843 | KOOP 0.0000 | τ 0.3000 | Total 97.7843
Epoch 00014 | NCE 96.9401 | KOOP 0.0000 | τ 0.3000 | Total 96.9401
Epoch 00015 | NCE 96.2916 | KOOP 0.0000 | τ 0.3000 | Total 96.2916
Epoch 00016 | NCE 93.9250 | KOOP 0.0000 | τ 0.3000 | Total 93.9250
Epoch 00017 | NCE 91.5287 | KOOP 0.0000 | τ 0.3000 | Total 91.5287
Epoch 00018 | NCE 93.8774 | KOOP 0.0000 | τ 0.3000 | Total 93.8774
Epoch 00019 | NCE 92.2976 | KOOP 0.0000 | τ 0.3000 | Total 92.2976
Epoch 00020 | NCE 94.4082 | KOOP 0.0000 | τ 0.3000 | Total 94.4082
Epoch 00021 | NCE 91.9603 | KOOP 0.0000 | τ 0.3000 | Total 91.9603
Epoch 00022 | NCE 91.4152 | KOOP 0.0000 | τ 0.3000 | Total 91.4152
Epoch 00023 | NCE 90.0499 | KOOP 0.0000 | τ 0.3000 | Total 90.0499
Epoch 00024 | NCE 90.1721 | KOOP 0.0000 | τ 0.3000 | Total 90.1721
Epoch 00025 | NCE 86.9633 | KOOP 0.0000 | τ 0.3000 | Total 86.9633
Epoch 00026 | NCE 89.0159 | KOOP 0.0000 | τ 0.3000 | Total 89.0159
Epoch 00027 | NCE 88.9462 | KOOP 0.0000 | τ 0.3000 | Total 88.9462
Epoch 00028 | NCE 85.5217 | KOOP 0.0000 | τ 0.3000 | Total 85.5217
Epoch 00029 | NCE 86.1810 | KOOP 0.0000 | τ 0.3000 | Total 86.1810
Epoch 00030 | NCE 84.4175 | KOOP 0.0000 | τ 0.3000 | Total 84.4175
Epoch 00031 | NCE 84.5487 | KOOP 0.0000 | τ 0.3000 | Total 84.5487
Epoch 00032 | NCE 84.7918 | KOOP 0.0000 | τ 0.3000 | Total 84.7918
Epoch 00033 | NCE 86.8139 | KOOP 0.0000 | τ 0.3000 | Total 86.8139
Epoch 00034 | NCE 83.5933 | KOOP 0.0000 | τ 0.3000 | Total 83.5933
Epoch 00035 | NCE 84.9962 | KOOP 0.0000 | τ 0.3000 | Total 84.9962
Epoch 00036 | NCE 84.6552 | KOOP 0.0000 | τ 0.3000 | Total 84.6552
Epoch 00037 | NCE 83.8559 | KOOP 0.0000 | τ 0.3000 | Total 83.8559
Epoch 00038 | NCE 86.1064 | KOOP 0.0000 | τ 0.3000 | Total 86.1064
Epoch 00039 | NCE 85.7483 | KOOP 0.0000 | τ 0.3000 | Total 85.7483
Epoch 00040 | NCE 84.6054 | KOOP 0.0000 | τ 0.3000 | Total 84.6054
Epoch 00041 | NCE 80.7592 | KOOP 0.0000 | τ 0.3000 | Total 80.7592
Epoch 00042 | NCE 82.7796 | KOOP 0.0000 | τ 0.3000 | Total 82.7796
Epoch 00043 | NCE 83.9187 | KOOP 0.0000 | τ 0.3000 | Total 83.9187
Epoch 00044 | NCE 83.4987 | KOOP 0.0000 | τ 0.3000 | Total 83.4987
Epoch 00045 | NCE 81.2608 | KOOP 0.0000 | τ 0.3000 | Total 81.2608
Epoch 00046 | NCE 82.4397 | KOOP 0.0000 | τ 0.3000 | Total 82.4397
Epoch 00047 | NCE 82.7647 | KOOP 0.0000 | τ 0.3000 | Total 82.7647
Epoch 00048 | NCE 84.0172 | KOOP 0.0000 | τ 0.3000 | Total 84.0172
Epoch 00049 | NCE 82.2085 | KOOP 0.0000 | τ 0.3000 | Total 82.2085
Epoch 00050 | NCE 82.8909 | KOOP 0.0000 | τ 0.3000 | Total 82.8909
Epoch 00051 | NCE 79.4403 | KOOP 0.0000 | τ 0.3000 | Total 79.4403
