/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[ablate] mode=fixed_tau seed=42 dataset=elliptic task=classification
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Large graph (203769 nodes) → mini-batch sampler fanout=[20, 20]

[KAIROS] Backbone: gcn
Training 100 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 73.8562 | KOOP 0.0000 | τ 0.5000 | Total 73.8562
Epoch 00001 | NCE 71.4232 | KOOP 0.0000 | τ 0.5000 | Total 71.4232
Epoch 00002 | NCE 69.8976 | KOOP 0.0000 | τ 0.5000 | Total 69.8976
Epoch 00003 | NCE 68.6681 | KOOP 0.0000 | τ 0.5000 | Total 68.6681
Epoch 00004 | NCE 67.4671 | KOOP 0.0000 | τ 0.5000 | Total 67.4671
Epoch 00005 | NCE 66.3966 | KOOP 0.0000 | τ 0.5000 | Total 66.3966
Epoch 00006 | NCE 65.4745 | KOOP 0.0000 | τ 0.5000 | Total 65.4745
Epoch 00007 | NCE 64.7926 | KOOP 0.0000 | τ 0.5000 | Total 64.7926
Epoch 00008 | NCE 64.1499 | KOOP 0.0000 | τ 0.5000 | Total 64.1499
Epoch 00009 | NCE 63.3576 | KOOP 0.0000 | τ 0.5000 | Total 63.3576
Epoch 00010 | NCE 62.7085 | KOOP 0.0000 | τ 0.5000 | Total 62.7085
Epoch 00011 | NCE 62.3915 | KOOP 0.0000 | τ 0.5000 | Total 62.3915
Epoch 00012 | NCE 61.7974 | KOOP 0.0000 | τ 0.5000 | Total 61.7974
Epoch 00013 | NCE 61.4169 | KOOP 0.0000 | τ 0.5000 | Total 61.4169
Epoch 00014 | NCE 60.8592 | KOOP 0.0000 | τ 0.5000 | Total 60.8592
Epoch 00015 | NCE 60.5332 | KOOP 0.0000 | τ 0.5000 | Total 60.5332
Epoch 00016 | NCE 60.2469 | KOOP 0.0000 | τ 0.5000 | Total 60.2469
Epoch 00017 | NCE 60.1056 | KOOP 0.0000 | τ 0.5000 | Total 60.1056
Epoch 00018 | NCE 59.8236 | KOOP 0.0000 | τ 0.5000 | Total 59.8236
Epoch 00019 | NCE 59.5802 | KOOP 0.0000 | τ 0.5000 | Total 59.5802
Epoch 00020 | NCE 59.4070 | KOOP 0.0000 | τ 0.5000 | Total 59.4070
Epoch 00021 | NCE 59.4674 | KOOP 0.0000 | τ 0.5000 | Total 59.4674
Epoch 00022 | NCE 59.2308 | KOOP 0.0000 | τ 0.5000 | Total 59.2308
Epoch 00023 | NCE 58.8693 | KOOP 0.0000 | τ 0.5000 | Total 58.8693
Epoch 00024 | NCE 58.6431 | KOOP 0.0000 | τ 0.5000 | Total 58.6431
Epoch 00025 | NCE 58.7720 | KOOP 0.0000 | τ 0.5000 | Total 58.7720
Epoch 00026 | NCE 58.5129 | KOOP 0.0000 | τ 0.5000 | Total 58.5129
Epoch 00027 | NCE 58.3693 | KOOP 0.0000 | τ 0.5000 | Total 58.3693
Epoch 00028 | NCE 58.3241 | KOOP 0.0000 | τ 0.5000 | Total 58.3241
Epoch 00029 | NCE 58.1838 | KOOP 0.0000 | τ 0.5000 | Total 58.1838
Epoch 00030 | NCE 58.1565 | KOOP 0.0000 | τ 0.5000 | Total 58.1565
Epoch 00031 | NCE 58.0169 | KOOP 0.0000 | τ 0.5000 | Total 58.0169
Epoch 00032 | NCE 57.8584 | KOOP 0.0000 | τ 0.5000 | Total 57.8584
