/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=99 dataset=bitalpha task=classification
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Small graph (3219 nodes) → full-neighbour training sampler

[KAIROS] Backbone: sage
Training 200 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 74.6581 | KOOP 0.0000 | τ 0.5000 | Total 74.6581
Epoch 00001 | NCE 70.1260 | KOOP 0.0000 | τ 0.5000 | Total 70.1260
Epoch 00002 | NCE 67.5263 | KOOP 0.0000 | τ 0.5000 | Total 67.5263
Epoch 00003 | NCE 65.1786 | KOOP 0.0000 | τ 0.5000 | Total 65.1786
Epoch 00004 | NCE 63.8142 | KOOP 0.0000 | τ 0.5000 | Total 63.8142
Epoch 00005 | NCE 63.3841 | KOOP 0.0000 | τ 0.5000 | Total 63.3841
Epoch 00006 | NCE 62.2380 | KOOP 0.0000 | τ 0.5000 | Total 62.2380
Epoch 00007 | NCE 61.6115 | KOOP 0.0000 | τ 0.5000 | Total 61.6115
Epoch 00008 | NCE 60.7511 | KOOP 0.0000 | τ 0.5000 | Total 60.7511
Epoch 00009 | NCE 60.8691 | KOOP 0.0000 | τ 0.5000 | Total 60.8691
Epoch 00010 | NCE 60.1470 | KOOP 0.0000 | τ 0.5000 | Total 60.1470
Epoch 00011 | NCE 60.1235 | KOOP 0.0000 | τ 0.5000 | Total 60.1235
Epoch 00012 | NCE 59.7081 | KOOP 0.0000 | τ 0.5000 | Total 59.7081
Epoch 00013 | NCE 59.4254 | KOOP 0.0000 | τ 0.5000 | Total 59.4254
Epoch 00014 | NCE 58.9131 | KOOP 0.0000 | τ 0.5000 | Total 58.9131
Epoch 00015 | NCE 59.0813 | KOOP 0.0000 | τ 0.5000 | Total 59.0813
Epoch 00016 | NCE 58.8874 | KOOP 0.0000 | τ 0.5000 | Total 58.8874
Epoch 00017 | NCE 58.5849 | KOOP 0.0000 | τ 0.5000 | Total 58.5849
Epoch 00018 | NCE 58.4349 | KOOP 0.0000 | τ 0.5000 | Total 58.4349
Epoch 00019 | NCE 58.4805 | KOOP 0.0000 | τ 0.5000 | Total 58.4805
Epoch 00020 | NCE 58.1829 | KOOP 0.0000 | τ 0.5000 | Total 58.1829
Epoch 00021 | NCE 58.4930 | KOOP 0.0000 | τ 0.5000 | Total 58.4930
Epoch 00022 | NCE 58.2885 | KOOP 0.0000 | τ 0.5000 | Total 58.2885
Epoch 00023 | NCE 58.1624 | KOOP 0.0000 | τ 0.5000 | Total 58.1624
Epoch 00024 | NCE 57.9575 | KOOP 0.0000 | τ 0.5000 | Total 57.9575
Epoch 00025 | NCE 58.0704 | KOOP 0.0000 | τ 0.5000 | Total 58.0704
Epoch 00026 | NCE 57.9544 | KOOP 0.0000 | τ 0.5000 | Total 57.9544
Epoch 00027 | NCE 57.8351 | KOOP 0.0000 | τ 0.5000 | Total 57.8351
Epoch 00028 | NCE 57.6446 | KOOP 0.0000 | τ 0.5000 | Total 57.6446
Epoch 00029 | NCE 57.6976 | KOOP 0.0000 | τ 0.5000 | Total 57.6976
Epoch 00030 | NCE 57.5933 | KOOP 0.0000 | τ 0.5000 | Total 57.5933
Epoch 00031 | NCE 57.7663 | KOOP 0.0000 | τ 0.5000 | Total 57.7663
Epoch 00032 | NCE 57.4841 | KOOP 0.0000 | τ 0.5000 | Total 57.4841
Epoch 00033 | NCE 57.3568 | KOOP 0.0000 | τ 0.5000 | Total 57.3568
Epoch 00034 | NCE 57.3550 | KOOP 0.0000 | τ 0.5000 | Total 57.3550
Epoch 00035 | NCE 57.2389 | KOOP 0.0000 | τ 0.5000 | Total 57.2389
Epoch 00036 | NCE 57.1920 | KOOP 0.0000 | τ 0.5000 | Total 57.1920
Epoch 00037 | NCE 57.0704 | KOOP 0.0000 | τ 0.5000 | Total 57.0704
Epoch 00038 | NCE 57.1870 | KOOP 0.0000 | τ 0.5000 | Total 57.1870
Epoch 00039 | NCE 57.0155 | KOOP 0.0000 | τ 0.5000 | Total 57.0155
Epoch 00040 | NCE 57.1308 | KOOP 0.0000 | τ 0.5000 | Total 57.1308
Epoch 00041 | NCE 56.9722 | KOOP 0.0000 | τ 0.5000 | Total 56.9722
Epoch 00042 | NCE 57.1826 | KOOP 0.0000 | τ 0.5000 | Total 57.1826
Epoch 00043 | NCE 57.0570 | KOOP 0.0000 | τ 0.5000 | Total 57.0570
Epoch 00044 | NCE 56.8908 | KOOP 0.0000 | τ 0.5000 | Total 56.8908
Epoch 00045 | NCE 56.7356 | KOOP 0.0000 | τ 0.5000 | Total 56.7356
Epoch 00046 | NCE 56.8239 | KOOP 0.0000 | τ 0.5000 | Total 56.8239
